Thw,Thwi,Tcw,Tcwi,mc,Tcwo
63.6,60.2,15.2,15,3.1,44.8
63.6,60.2,15.2,15,3,44.6
63.6,60.2,15.2,15,3.1,44.6
63.6,60.2,15.2,15,3,44.6
63.6,60.2,15.2,15,3.1,44.6
63.6,60.2,15.2,15,3,44.6
63.6,60.2,15.2,15,3.1,44.6
63.7,60.2,15.3,15,3.1,44.6
63.7,60.2,15.2,15,3,44.6
63.6,60.2,15.2,15,3,44.6
63.5,60,15.2,14.8,3,44.6
63.6,60,15.2,14.8,3,44.6
63.5,60,15.2,14.8,3,44.6
63.5,60,15.2,14.8,3,44.6
63.6,60,15.2,14.8,3,44.6
63.4,60,15.1,15,3,44.6
63.5,60,15.1,15,3,44.6
63.6,60,15.2,15,3,44.6
63.6,59.9,15.2,15,3,44.6
63.6,59.9,15.3,15,3,44.6
63.6,59.9,15.2,15,3,44.6
63.5,59.9,15.2,15,3,44.6
63.6,59.9,15.1,15,3.1,44.6
63.5,59.9,15.1,15,3,44.6
63.5,59.9,15.1,15,3,44.6
63.5,59.9,15.2,15,3,44.6
63.5,59.9,15.2,15,3,44.6
63.5,59.9,15.2,15,3,44.6
63.6,59.9,15.1,15,3.1,44.6
63.5,59.9,15.2,15,3,44.6
63.5,59.9,15.2,15,3,44.6
63.5,59.9,15.3,15,3.1,44.6
63.5,60.1,15.2,15,3.1,44.9
63.5,60.2,15.1,15,3.1,45.1
63.5,60.2,15.2,15,3,45.1
63.5,60.2,15.2,15,3.1,45.1
63.5,60.2,15.2,15,3.1,45.1
63.5,60.2,15.2,15,3,45.1
63.5,60.2,15.2,15,3.1,45.1
63.5,60.2,15.2,15,3,45.1
63.5,60.2,15.2,15,3,45.1
63.6,60.2,15.2,15,3,45.1
63.5,60.2,15.2,15,3.1,45.1
63.5,59.9,15.1,15,3.1,44.8
63.5,59.9,15.1,15,3.1,44.8
63.4,59.9,15.2,15,3,44.9
63.5,59.9,15.2,15,3,44.9
63.5,60.2,15.2,15,3,44.9
63.5,59.9,15.2,15,3.1,44.9
63.5,59.9,15.2,15,3,44.9
63.5,59.9,15.2,15,3,45.1
63.5,59.9,15.2,15,3.1,45.1
63.6,59.9,15.2,15,3,45.1
63.5,59.9,15.2,15,3.1,45.1
63.5,59.9,15.2,15,3.1,45.1
63.5,59.9,15.2,15,3.1,45.1
63.5,59.9,15.1,15,3.1,45.1
63.5,59.9,15.2,15,3.1,45.1
63.5,59.9,15.1,15,3.1,45.1
63.6,59.9,15.2,14.8,3,44.9
63.5,59.9,15.2,14.8,3,44.9
63.5,59.9,15.2,15,3.1,44.7
63.5,59.9,15.2,15,3,44.7
63.4,59.9,15.2,14.9,3.1,44.7
63.3,59.9,15.2,14.9,3,44.7
63.4,59.9,15.1,14.9,3.1,44.7
63.5,60.1,15.1,14.9,3.1,44.7
63.4,60.1,15.2,14.9,3,44.9
63.4,60.1,15.2,14.9,3.1,44.9
63.5,60.1,15.2,14.9,3.1,44.9
63.5,60.1,15.2,14.9,3.1,44.9
63.5,60.1,15.2,14.9,3,44.9
63.5,60.1,15.2,14.9,3,44.9
63.5,60.1,15.2,14.9,3,44.9
63.5,60.1,15.2,14.9,3,44.9
63.4,60.1,15.2,14.9,3,44.9
63.5,60.1,15.2,15,3.1,44.9
63.4,60.1,15.2,15,3.1,44.9
63.4,60.1,15.2,15,3,44.8
63.4,60.1,15.2,15,3.1,44.8
63.6,60.1,15.2,15,3.1,44.8
63.5,60.1,15.2,15,3.1,45.1
63.5,60.1,15.2,15,3.1,45.1
63.5,60.1,15.2,15,3.1,44.9
63.5,60.1,15.2,15,3,45.1
63.5,60.1,15.2,15,3.1,45.1
63.4,60.1,15.2,15,3,45.1
63.4,60.1,15.2,15,3,45.1
63.4,60.1,15.2,15,3,45.1
63.4,60.1,15.2,15.1,3.1,45.1
63.5,60.1,15.2,14.9,3.1,44.8
63.4,60.1,15.2,14.9,3.1,44.8
63.4,60.1,15.2,14.9,3,45.1
63.4,60.1,15.2,14.9,3.1,44.8
63.4,60.1,15.2,14.9,3,44.9
63.4,60.1,15.2,14.9,3,44.9
63.4,60.1,15.2,14.9,3,45.1
63.4,60.1,15.2,14.9,3.1,45.1
63.4,60.1,15.2,14.9,3.1,45.1
63.3,60.1,15.2,14.9,3.1,45.1
63.4,60.1,15.1,14.9,3,44.7
63.4,60.1,15.2,14.9,3,44.7
63.4,60.1,15.2,14.9,3.1,44.7
63.4,60.1,15.1,14.9,3.1,44.9
63.3,60.1,15.2,14.9,3.1,44.8
63.5,60.1,15.2,14.9,3,44.9
63.3,60.1,15.2,14.9,3.1,44.8
63.4,60.1,15.2,14.9,3.1,44.8
63.3,60.1,15.2,14.9,3.1,44.9
63.4,60.1,15.2,14.9,3,44.8
63.4,60.1,15.2,14.9,3.1,45.1
63.3,60.1,15.3,14.9,3.1,45.1
63.4,60.1,15.2,14.9,3,44.8
63.4,60.1,15.3,14.9,3.1,45.1
63.4,60.1,15.2,14.9,3.1,44.9
63.3,60.1,15.2,14.9,3,44.9
63.3,60.1,15.2,14.9,3,44.9
63.3,60.1,15.2,14.9,3.1,44.9
63.3,60.1,15.2,14.9,3,44.9
63.4,60.1,15.2,14.9,3,44.8
63.4,60.1,15.2,14.9,3,45.1
63.4,60.1,15.2,14.9,3,44.9
63.4,60.1,15.3,14.9,3,44.9
63.3,60.1,15.2,14.9,3,45.1
63.3,60.1,15.1,14.9,3,44.8
63.3,60.1,15.2,14.9,3,44.8
63.3,60.1,15.2,14.9,3.1,44.8
63.3,60.1,15.3,14.9,3.1,45.1
63.3,60.1,15.2,14.9,3.1,45.1
63.4,60.1,15.2,14.9,3,45.1
63.3,60.1,15.3,14.9,3,44.9
63.3,60.1,15.2,14.9,3.1,44.9
63.3,60.1,15.2,14.9,3.1,44.9
63.3,60.1,15.2,14.9,3,44.9
63.2,60.1,15.2,15.1,3.1,44.9
63.3,60.1,15.2,15.1,3,44.9
63.2,60.1,15.2,15.1,3.1,44.8
63.2,60.1,15.2,15.1,3,44.7
63.3,60.1,15.2,15.1,3,44.7
63.3,60.1,15.2,15.1,3.1,45.1
63.3,60.1,15.2,15.1,3.1,45.1
63.3,60.1,15.3,15.1,3,44.9
63.2,60.1,15.2,15.1,3.1,44.9
63.2,60.1,15.2,15.1,3,45.1
63.2,60.1,15.2,15.1,3.1,44.9
63.1,60.1,15.2,15.1,3.1,44.9
63.1,60.1,15.2,15.1,3,44.9
63.1,60.1,15.3,15.1,3,45.1
63.2,60.1,15.2,15.1,3,44.9
63,60.1,15.2,15.1,3,44.9
63,60.1,15.2,14.9,3,44.9
63,60.1,15.3,15.1,3,44.9
63.1,60.1,15.3,15.1,3,44.9
63,60.1,15.2,15.1,3,44.9
63.1,60.1,15.2,15.1,3.1,44.9
63,60.1,15.2,15.1,3,44.9
62.9,60.1,15.2,15.1,3,44.9
62.9,60.1,15.2,15.1,3.1,44.9
62.9,60.1,15.1,15.1,3,44.9
62.9,60.1,15.1,15.1,3,44.8
62.9,60.1,15.2,15.1,3.1,44.8
62.9,60.1,15.2,15.1,3,44.8
62.8,60.1,15.2,15.1,3,44.8
62.9,60.1,15.3,15.1,3,44.8
62.9,60.1,15.2,15.1,3.1,44.8
62.8,60.1,15.3,15.1,3,44.8
62.8,60.1,15.1,15.1,3,44.8
62.7,60.1,15.1,15.1,3.1,44.8
62.7,60.1,15.1,15.1,3.1,44.8
62.7,60.1,15.2,15.1,3,44.8
62.7,60.1,15.2,15.1,3.1,44.8
62.7,60.1,15.3,15.1,3.1,44.8
62.7,60.1,15.2,15.1,3,44.8
62.6,60.1,15.2,15.1,3.1,44.8
62.7,60.1,15.2,15.1,3.1,44.8
62.6,60.1,15.2,15.1,3.1,44.8
62.6,60.1,15.3,15.1,3.1,44.8
62.6,60.1,15.2,15.1,3,44.8
62.5,60.1,15.2,15.1,3,44.8
62.5,60.1,15.1,15.1,3.1,44.8
62.5,60.1,15.1,15.1,3,44.8
62.5,60.1,15.1,15.1,3,44.8
62.5,60.1,15.2,15.1,3,44.8
62.5,60.1,15.2,15.1,3,44.8
62.5,60.1,15.3,15.1,3,44.8
62.5,60.1,15.3,15.1,3,44.8
62.5,60.1,15.2,15.1,3,44.8
62.4,59.9,15.2,15.1,3,44.8
62.4,59.9,15.2,15.1,3.1,44.8
62.4,59.9,15.2,15.1,3,44.8
62.4,59.9,15.2,15.1,3.1,44.8
62.3,59.9,15.2,15.1,3,44.8
62.2,59.9,15.2,15.1,3.1,44.8
62.3,59.9,15.2,15.1,3,44.8
62.2,59.9,15.2,15.1,3,44.8
62.2,59.9,15.2,15.1,3,44.8
62.2,59.9,15.2,15.1,3,44.8
62.1,59.9,15.2,15.1,3,44.8
62.1,59.9,15.2,15.1,3.1,44.8
62,59.9,15.2,15.1,3,44.8
62.1,59.9,15.2,15.1,3.1,44.8
62,59.9,15.2,15.1,3,44.8
62,59.9,15.2,15.1,3,44.9
62,59.9,15.3,15.1,3.1,44.9
62,59.9,15.3,15.1,3.1,44.9
61.9,59.9,15.3,15.1,3,44.9
61.7,59.9,15.2,15.1,3,44.9
61.7,59.9,15.2,15.1,3,44.9
61.6,59.9,15.2,15.1,3,44.9
61.7,59.9,15.2,15.1,3,44.6
61.6,59.9,15.2,15.1,3,44.9
61.5,59.9,15.2,15.1,3.1,44.9
61.3,59.9,15.2,15.1,3.1,44.9
61.3,59.9,15.2,15.1,3.1,44.9
61.3,59.9,15.2,15.1,3.1,44.9
61.2,59.9,15.2,15.1,3,44.8
61.2,59.9,15.2,15.1,3.1,44.8
61.2,59.9,15.2,15.1,3,44.8
61.2,59.9,15.2,15.1,3.1,44.8
61.1,59.9,15.3,15.1,3,44.8
61.1,59.9,15.2,15.1,3,44.8
61.1,59.9,15.2,15.1,3,44.8
61,59.9,15.2,15.1,3,44.8
61.1,59.9,15.1,15.1,3,44.8
61,59.9,15.2,15.1,3.1,44.8
63.4,59.9,15.2,15,4,41.3
63.5,59.9,15.2,15,4,41.3
63.5,59.9,15.2,15,4,41.3
63.6,59.9,15.3,15,4,41.3
63.6,59.9,15.2,15,4,41.3
63.5,59.9,15.3,15,4,41.3
63.5,59.9,15.2,15,4,41.3
63.5,59.9,15.2,15,4,41.3
63.6,59.9,15.3,15,4,41.3
63.5,59.9,15.3,15,4,41.3
63.7,60.2,15.3,15,4,41.2
63.5,60.2,15.2,15,4,41.2
63.7,60.2,15.3,15,4,41.2
63.7,60.2,15.3,15,4,41.3
63.7,60.2,15.3,15,4,41.3
63.7,60.2,15.3,15,4,41.3
63.7,60.2,15.3,15,4,41.3
63.7,60.2,15.3,15,4,41.3
63.7,60.2,15.3,15,4.1,41.3
63.7,60.2,15.3,15,4,41.3
63.7,60.2,15.3,15,4,41.5
63.8,60.2,15.3,15,4.1,41.3
63.7,60.2,15.2,15,4,41.3
63.7,60.2,15.3,15,4,41.3
63.6,60.2,15.3,15,4,41.3
63.7,60.2,15.3,15,4.1,41.5
63.7,60.2,15.3,14.8,4,41.5
63.7,60.2,15.3,14.8,4,41.5
63.7,60.2,15.3,15,4,41.5
63.7,60.2,15.3,15,4,41.5
63.7,60.2,15.3,15,4,41.5
63.7,60.2,15.3,15,4,41.5
63.6,60.2,15.3,15,4,41.5
63.6,60.2,15.2,14.8,4,41.5
63.6,60.2,15.3,15,4.1,41.5
63.5,60.2,15.2,15,4,41.5
63.5,60.2,15.3,15,4,41.5
63.5,60,15.2,14.8,4,41.3
63.5,60,15.3,14.8,4,41.3
63.6,60,15.3,15,4,41.5
63.7,60,15.4,15,4,41.5
63.7,60,15.3,15,4,41.3
63.7,60,15.3,15,4,41.3
63.5,60,15.2,15,4,41.3
63.5,60,15.3,15,4,41.3
63.6,60,15.3,15,4,41.3
63.5,60,15.3,15,4,41.3
63.6,60,15.2,15,4,41.5
63.6,60,15.3,15,4,41.5
63.5,60,15.3,15,4,41.5
63.5,60,15.3,15,4,41.5
63.6,60,15.3,15,4,41.5
63.6,60,15.3,15,3.9,41.5
63.7,60,15.3,15,4,41.5
63.6,60,15.3,15,4,41.5
63.5,60,15.3,15,4,41.5
63.5,60,15.3,14.8,4,41.4
63.5,60,15.2,14.8,4,41.4
63.5,60,15.2,14.8,4,41.4
63.6,60,15.3,14.9,4,41.6
63.6,60,15.3,14.9,4,41.5
63.7,60,15.3,14.9,4.1,41.4
63.6,60,15.3,14.9,4,41.4
63.6,60,15.4,14.9,4,41.4
63.5,60,15.2,14.9,4,41.4
63.5,60,15.2,14.9,4,41.4
63.6,60,15.3,14.9,4,41.4
63.6,60,15.3,14.9,4,41.4
63.6,60,15.3,14.9,4,41.4
63.6,60,15.3,14.9,4,41.4
63.6,60,15.4,14.9,4,41.4
63.5,60,15.2,14.9,4.1,41.4
63.6,60,15.3,14.9,4.1,41.4
63.6,60,15.2,14.9,4,41.4
63.5,60,15.2,14.9,4,41.4
63.6,60,15.2,14.9,4,41.4
63.6,60,15.3,14.9,4,41.4
63.7,60,15.3,14.9,4,41.4
63.7,60,15.3,14.9,4,41.4
63.6,60,15.3,14.9,4,41.4
63.5,60,15.3,14.9,4.1,41.4
63.6,60,15.3,14.9,4,41.4
63.6,60,15.3,14.9,4,41.4
63.6,60,15.3,14.9,4.1,41.4
63.6,60,15.3,14.9,4,41.4
63.6,60,15.3,14.9,4,41.4
63.7,60.2,15.3,14.9,4.1,41.4
63.6,60.2,15.4,14.9,4,41.4
63.6,60.2,15.3,14.9,4,41.4
63.6,60.2,15.3,14.9,4,41.4
63.6,60.2,15.3,14.9,4,41.4
63.5,60.2,15.2,14.9,3.9,41.4
63.5,60,15.2,14.9,4,41.4
63.5,60,15.3,14.9,4.1,41.4
63.6,60,15.2,14.9,4,41.4
63.5,60,15.3,14.9,4,41.4
63.6,60,15.3,14.9,4,41.4
63.5,60,15.3,14.9,4,41.3
63.5,60,15.2,14.9,4,41.3
63.6,60,15.4,14.9,4,41.3
63.6,60,15.3,14.9,4,41.3
63.6,60,15.4,14.9,4,41.3
63.6,60,15.3,14.9,4,41.3
63.5,60,15.2,14.9,4,41.3
63.5,60,15.2,14.9,4,41.3
63.6,60,15.3,14.9,4,41.3
63.6,60,15.3,14.9,4,41.3
63.6,60,15.3,14.9,4,41.3
63.6,60,15.3,14.9,4.1,41.3
63.6,60,15.3,14.9,4.1,41.4
63.4,60,15.3,14.9,4,41.3
63.6,60,15.4,14.9,4,41.2
63.6,60,15.3,14.9,4,41.3
63.6,60,15.3,14.9,4,41.3
63.6,60,15.3,14.9,4,41.4
63.6,60,15.4,14.9,4,41.4
63.6,60,15.3,14.9,4,41.4
63.6,60,15.3,14.9,4,41.4
63.6,60,15.4,14.9,4,41.4
63.6,60,15.4,14.9,4,41.4
63.5,60,15.4,14.9,4,41.4
63.4,60,15.3,14.9,4,41.4
63.5,60,15.3,14.9,4,41.4
63.6,60,15.4,14.9,4,41.6
63.6,60.2,15.3,14.9,4,41.4
63.6,60.2,15.3,14.9,4,41.4
63.5,60.2,15.3,14.9,4,41.5
63.5,60.2,15.3,14.9,4,41.4
63.6,60.2,15.3,14.9,4,41.4
63.4,60.2,15.4,14.6,4.1,41.4
63.5,60.2,15.3,14.8,4.1,41.4
63.5,60.2,15.3,14.8,4,41.4
63.5,60.2,15.3,14.8,4,41.4
63.5,60.2,15.4,14.8,4,41.4
63.5,60.2,15.3,14.8,4,41.4
63.6,60.2,15.4,14.8,4,41.4
63.6,60.2,15.4,14.8,4,41.4
63.6,60.2,15.4,14.8,4,41.4
63.6,60.2,15.4,14.8,4,41.4
63.6,60.2,15.4,14.8,4.1,41.4
63.6,60.2,15.3,14.8,4,41.4
63.6,60.2,15.4,14.8,4,41.4
63.5,60.2,15.4,14.8,4,41.4
63.5,60.2,15.3,14.8,4,41.4
63.6,60.2,15.4,14.8,4,41.4
63.7,60.2,15.4,14.8,4,41.4
63.6,60.2,15.4,14.8,4,41.7
63.6,60,15.4,14.8,4,41.7
63.6,60,15.4,14.8,4,41.7
63.5,60,15.4,14.8,4,41.4
63.5,60,15.4,14.8,4,41.8
63.5,60,15.5,14.8,4,41.4
63.5,60,15.4,14.8,4,41.7
63.5,60,15.4,14.8,4,41.5
63.6,60,15.4,14.8,4,41.5
63.6,60,15.4,14.8,4.1,41.5
63.6,60,15.4,14.8,4.1,41.5
63.6,60,15.4,14.8,4,41.5
63.6,60,15.4,14.8,4,41.5
63.5,60,15.4,14.8,4.1,41.5
63.5,60.2,15.3,14.8,4,41.5
63.6,60.2,15.4,14.8,4,41.5
63.6,60.2,15.4,14.8,4.1,41.5
63.6,60.2,15.4,14.8,4,41.5
63.6,60.2,15.5,14.8,4,41.4
63.5,60.2,15.3,14.8,4,41.4
63.5,60.2,15.4,14.8,4,41.4
63.6,60.2,15.4,14.8,4,41.4
63.6,60.2,15.4,14.8,4,41.5
63.6,60.2,15.4,14.8,4,41.4
63.6,60,15.4,14.8,4,41.5
63.6,60,15.4,14.8,4,41.3
63.6,60,15.4,14.8,4,41.3
63.6,60.1,15.4,14.8,4,41.2
63.6,60.1,15.5,14.8,4.1,41.2
63.6,60.1,15.5,14.8,4,41.2
63.6,60.2,15.4,14.8,4,41.2
63.5,60.2,15.4,14.8,4,41.2
63.5,60.2,15.3,14.8,4,41.2
63.5,60.2,15.4,14.8,4,41.2
63.5,60,15.4,14.8,4,41.2
63.5,60,15.4,14.8,4,41.2
63.6,60,15.5,14.8,4,41.2
63.6,60,15.5,14.8,4,41.2
63.6,60,15.4,14.8,4,41.2
63.6,60,15.5,14.8,4.1,41.5
63.6,60,15.4,14.8,4,41.3
63.5,60,15.4,14.8,4,41.3
63.5,60.1,15.3,14.8,4,41.3
63.5,60.1,15.4,14.8,4.1,41.3
63.5,60.1,15.4,14.8,4,41.6
63.5,60.1,15.4,14.8,4,41.6
63.6,60.1,15.4,14.8,4,41.6
63.5,60.1,15.4,14.8,4,41.6
63.6,60.2,15.4,14.8,4,41.6
63.5,60.2,15.4,14.8,4,41.6
63.7,60.2,15.5,14.8,4,41.6
