Thw,Thwi,Tcw,Tcwi,mc,Thwo
63.5,59.9,15.2,14.8,6.6,47.3
63.7,59.9,15.2,14.8,6.6,47.3
63.6,59.9,15.2,14.8,6.6,47.3
63.5,59.9,15.2,14.8,6.6,47.3
63.6,59.9,15.2,14.8,6.6,47.3
63.6,59.9,15.2,14.8,6.6,47.3
63.6,59.9,15.2,14.8,6.6,47.3
63.6,59.9,15.2,14.8,6.6,47.3
63.6,59.9,15.2,14.8,6.6,47.3
63.7,59.9,15.2,14.8,6.6,47.3
63.6,59.9,15.2,14.8,6.6,47.3
63.6,59.9,15.2,14.8,6.6,47.3
63.7,59.9,15.3,14.8,6.6,47.3
63.6,59.9,15.2,14.8,6.6,47.3
63.5,60,15.2,14.8,6.6,47.3
63.5,60,15.2,14.8,6.6,47.3
63.6,60,15.2,15,6.6,47.3
63.5,60,15.2,15,6.6,47.6
63.6,60,15.2,15.2,6.6,47.6
63.5,60,15.2,15.2,6.6,47.6
63.6,60,15.1,15.2,6.6,47.6
63.5,60,15.2,15.2,6.7,47.6
63.6,60,15.2,15,6.6,47.6
63.5,60,15.2,15,6.6,47.6
63.5,60,15.2,15,6.7,47.6
63.5,60,15.2,15,6.6,47.6
63.5,60,15.2,15,6.6,47.6
63.5,60,15.2,15,6.7,47.6
63.5,60,15.2,14.8,6.7,47.6
63.5,60,15.2,14.8,6.7,47.6
63.5,60,15.2,14.8,6.7,47.5
63.7,60,15.2,14.8,6.6,47.5
63.4,60,15.2,14.8,6.6,47.5
63.5,60,15.2,14.8,6.7,47.5
63.5,60,15.2,14.8,6.6,47.5
63.5,60,15.2,14.8,6.5,47.5
63.5,60,15.2,14.8,6.5,47.5
63.5,60,15.2,14.8,6.6,47.5
63.5,60,15.2,14.8,6.5,47.5
63.5,60,15.1,14.8,6.5,47.5
63.4,60,15.2,14.8,6.6,47.5
63.5,60,15.2,14.8,6.6,47.5
63.4,60,15.2,14.8,6.6,47.5
63.5,60,15.2,14.8,6.5,47.5
63.6,60,15.3,14.8,6.6,47.5
63.6,60,15.2,14.8,6.6,47.5
63.6,60,15.2,14.8,6.6,47.5
63.5,60,15.2,14.8,6.6,47.5
63.5,60,15.2,14.8,6.6,47.5
63.4,60,15.2,14.8,6.5,47.5
63.5,60,15.2,14.8,6.6,47.5
63.5,60,15.2,14.8,6.6,47.5
63.5,60,15.2,14.8,6.6,47.5
63.5,60,15.2,14.8,6.6,47.5
63.4,60,15.2,14.8,6.6,47.5
63.5,60,15.2,14.8,6.6,47.5
63.5,60,15.2,14.8,6.6,47.5
63.4,60,15.2,14.8,6.6,47.5
63.5,60,15.2,14.8,6.6,47.5
63.5,60,15.2,14.8,6.6,47.5
63.5,60,15.1,14.8,6.5,47.5
63.5,60,15.2,14.8,6.6,47.5
63.4,60,15.2,14.8,6.6,47.5
63.5,60,15.1,14.8,6.6,47.5
63.5,60,15.1,14.8,6.6,47.5
63.5,60,15.2,14.8,6.6,47.5
63.5,60,15.2,14.8,6.5,47.5
63.5,60,15.1,14.8,6.5,47.5
63.6,60,15.2,14.8,6.6,47.5
63.5,60,15.2,14.8,6.5,47.5
63.5,60,15.1,14.8,6.5,47.5
63.4,60,15.2,14.8,6.5,47.5
63.5,60.1,15.2,14.8,6.5,47.5
63.4,60.1,15.1,14.8,6.6,47.5
63.5,60.1,15.2,14.8,6.6,47.5
63.4,60.1,15.2,14.8,6.5,47.5
63.5,60.1,15.2,14.8,6.6,47.5
63.5,60.1,15.2,14.8,6.5,47.5
63.5,60.1,15.1,14.8,6.5,47.5
63.4,60.2,15.2,14.8,6.6,47.5
63.4,60.2,15.2,14.8,6.6,47.5
63.4,60.2,15.2,14.8,6.6,47.5
63.4,60.2,15.2,14.8,6.6,47.5
63.4,60.2,15.2,14.8,6.6,47.5
63.5,60.2,15.2,14.8,6.6,47.5
63.5,60.2,15.2,14.8,6.5,47.5
63.4,60.2,15.2,14.8,6.6,47.5
63.4,60.2,15.2,14.8,6.6,47.5
63.5,60.2,15.2,14.8,6.6,47.5
63.4,60,15.1,14.8,6.6,47.5
63.4,60,15.2,14.8,6.6,47.5
63.4,60,15.2,14.8,6.6,47.5
63.5,60,15.2,14.8,6.5,47.5
63.5,60.1,15.2,14.8,6.5,47.5
63.4,60.1,15.2,14.8,6.6,47.5
63.4,60,15.2,14.8,6,47.5
63.4,60,15.2,14.8,6.8,47.5
63.4,60,15.2,14.8,6.6,47.5
63.3,60,15.2,14.8,6.6,47.5
63.3,60,15.2,14.8,6.6,47.5
63.4,60,15.2,14.8,6.6,47.5
63.2,60,15.2,14.8,6.6,47.5
63.2,60,15.2,14.8,6.6,47.5
63.2,60,15.2,14.8,6.7,47.5
63.3,60,15.2,14.8,6.6,47.5
63.3,60,15.2,14.8,6.6,47.5
63.2,60,15.2,14.8,6.6,47.5
63.3,60,15.2,14.8,6.6,47.5
63.3,60,15.1,14.8,6.6,47.5
63.4,59.9,15.6,15,6,48
63.5,59.9,15.6,15,6,48
63.3,60.1,15.6,15,6,48
63.3,60.1,15.6,15,6,48
63.4,60.1,15.5,15,6.1,47.8
63.3,60.1,15.5,15,6,48
63.4,60.1,15.4,15,6.1,48
63.5,60.1,15.4,15,6,48
63.5,60.1,15.4,15,6,48
63.4,60.1,15.5,15,6,48
63.5,60.1,15.4,15.1,6,48
63.5,60.2,15.5,15.1,6,48
63.5,60.2,15.5,15.1,6,48
63.5,60.2,15.4,15.1,6.1,48
63.5,60.2,15.5,15.1,6,48
63.5,60.2,15.5,15.1,5.9,48
63.5,60.1,15.5,15.1,6,48
63.4,60.1,15.5,15.1,6,48
63.5,60.1,15.5,15.1,6,48
63.5,60.1,15.5,15.1,6,48
63.4,60.1,15.4,15.1,6,48
63.4,60.1,15.5,15.1,6,48
63.7,60,15.7,15.1,6,48.1
63.6,60,15.6,15.1,6,47.8
63.6,60,15.6,15.1,6,47.6
63.6,60,15.4,15.1,6,47.6
63.4,60,15.5,15.1,6,47.6
63.4,60,15.6,15.1,5.9,47.6
63.5,60,15.5,15.1,6,47.6
63.4,60,15.5,15.1,6,47.7
63.4,60,15.5,15.1,6,47.7
63.4,60,15.5,15.1,6,47.7
63.4,60,15.5,15.1,6,47.7
63.4,60,15.5,15.1,6,47.9
63.4,60.2,15.5,15.1,6,47.9
63.4,60.2,15.5,15.1,6,47.9
63.4,60.2,15.5,15.1,6,47.9
63.4,60.2,15.6,15.1,6.1,48
63.4,60.2,15.5,15.1,6,48
63.3,60.2,15.6,15.1,6,48
63.4,60.2,15.6,15.1,6,48
63.4,60.2,15.6,15.1,6,48
63.4,60.2,15.6,15.1,6,48
63.4,60.2,15.6,15.1,6.1,48
63.4,60.2,15.6,15.1,6,48
63.4,60.2,15.6,15.1,6,48
63.4,60.2,15.6,15.1,6,48
63.4,59.8,15.6,15.1,6,48
63.4,59.8,15.6,15.1,6,48
63.4,59.8,15.6,15.1,6,48
63.4,59.8,15.6,15.1,6,48
63.4,59.8,15.5,15.1,6,48
